SN,Date,Venue,City,State,Country,Set 1,Set 2,Set 3,Encore,Show Number
1718,4/6/94,Miami Arena,Miami,FL,US,"Jack Straw, Jack A Roe, Wang Dang Doodle, Broken Arrow, West L.A. Fadeaway, El Paso, Row Jimmy, The Promised Land, Here Comes Sunshine, Samson And Delilah, Cumberland Blues, Way To Go Home, Man Smart (Woman Smarter), Drums> , Space, The Wheel, All Along The Watchtower, Standing On The Moon, Johnny B. Goode",No Set 2,No Set 3,No Encore,1
1719,4/7/94,Miami Arena,Miami,FL,US,"Shakedown Street, Walkin Blues, Friend Of The Devil, Queen Jane Approximately, Ramble On Rose, The Music Never Stopped, Eyes Of The World, Playing In The Band, Terrapin Station, Drums, Space, The Last Time, Stella Blue, Sugar Magnolia, Liberty",No Set 2,No Set 3,No Encore,1
1720,6/8/94,Cal Expo Amphitheatre,Sacramento,CA,US,"Mississippi Half Step Uptown Toodeloo, Walkin Blues, Peggy O, Me And My Uncle, Big River, Stagger Lee, Cassidy, Dont Ease Me In, Picasso Moon, Big Railroad Blues, Playing In The Band, Uncle Johns Band, Drums, Space, Samba In The Rain, All Along The Watchtower, Standing On The Moon, Turn On Your Lovelight, I Fought The Law",No Set 2,No Set 3,No Encore,1
1721,6/9/94,Cal Expo Amphitheatre,Sacramento,CA,US,"Jack Straw, Friend Of The Devil, Wang Dang Doodle, Ramble On Rose, If The Shoe Fits, Deal, China Cat Sunflower, I Know You Rider, Estimated Prophet, Hes Gone, Drums, Space, The Last Time, Stella Blue, Throwing Stones, Not Fade Away, Box Of Rain",No Set 2,No Set 3,No Encore,1
1722,6/13/94,Seattle Center Memorial Stadium,Seattle,WA,US,"Hell In A Bucket, Row Jimmy, New Minglewood Blues, Tennessee Jed, Queen Jane Approximately, Bird Song, The Promised Land","Scarlet Begonias> , Fire On The Mountain, Corrina> , Terrapin Station> , Drums> , Space> , I Need A Miracle> , Morning Dew",No Set 3,U.S. Blues,1
1723,6/14/94,Seattle Center Memorial Stadium,Seattle,WA,US,"Shakedown Street, Little Red Rooster, Loose Lucy, When I Paint My Masterpiece, Althea, Eternity, Victim Or The Crime, Lazy River Road, Samba In The Rain, Truckin, That Would Be Something, Drums, Space, Way To Go Home, Standing On The Moon, Sugar Magnolia, Liberty",No Set 2,No Set 3,No Encore,1
1724,6/17/94,Autzen Stadium,Eugene,OR,US,"Bertha, Greatest Story Ever Told, Lazy River Road, Wang Dang Doodle, Ramble On Rose, Black Throated Wind, Just Like Tom Thumbs Blues, Deal, Rain, Eyes Of The World, Samba In The Rain, Saint Of Circumstance, Drums, Space, The Wheel, Attics Of My Life, Throwing Stones, Not Fade Away, U.S. Blues",No Set 2,No Set 3,No Encore,1
1725,6/18/94,Autzen Stadium,Eugene,OR,US,"Jack Straw, Sugaree, Its All Over Now, Tennessee Jed, Me And My Uncle, Maggies Farm, Candyman, Easy Answers, China Cat Sunflower, I Know You Rider, Man Smart (Woman Smarter), Man Smart (Woman Smarter), Crazy Fingers, Corrina, Drums, Space, The Last Time, Days Between, One More Saturday Night",I Fought The Law,No Set 3,No Encore,1
1726,6/19/94,Autzen Stadium,Eugene,OR,US,"Touch Of Grey, Walkin Blues, Brown Eyed Women, El Paso, If The Shoe Fits, Bird Song","Scarlet Begonias> , Fire On The Mountain, Samson And Delilah, Way To Go Home, Playing In The Band> , Uncle Johns Band> , Drums> , Space> , The Other One> , Wharf Rat> , Good Lovin",No Set 3,Knockin On Heavens Door,1
1727,6/24/94,Sam Boyd Silver Bowl,Las Vegas,NV,US,"Let The Good Times Roll, Feel Like A Stranger, Althea, The Same Thing, Broken Arrow, Cumberland Blues, Eternity, Dont Ease Me In","Iko Iko, Samba In The Rain, Estimated Prophet, Hes Gone, Drums, Space, Goin Down The Road Feeling Bad, I Need A Miracle, Standing On The Moon",No Set 3,Johnny B. Goode,1
1728,6/25/94,Sam Boyd Silver Bowl,Las Vegas,NV,US,"Mississippi Half Step Uptown Toodeloo, Little Red Rooster, Lazy River Road, When I Paint My Masterpiece, Loose Lucy, Cassidy","If The Shoe Fits, Way To Go Home, Easy Answers, Uncle Johns Band, Corrina, Drums, Space, The Last Time, Stella Blue, One More Saturday Night",No Set 3,Liberty,1
1729,6/26/94,Sam Boyd Silver Bowl,Las Vegas,NV,US,"Hell In A Bucket, Peggy O, New Minglewood Blues, Ramble On Rose, El Paso, So Many Roads, Just Like Tom Thumbs Blues, The Music Never Stopped","Victim Or The Crime, Eyes Of The World, Box Of Rain, Saint Of Circumstance, Terrapin Station, Drums, Space, The Wheel, All Along The Watchtower, Morning Dew",No Set 3,U.S. Blues,1
1730,7/1/94,Shoreline Amphitheatre,Mountain View,CA,US,"Cold Rain And Snow, Wang Dang Doodle, Dire Wolf, Queen Jane Approximately, Stagger Lee, Black Throated Wind, Bertha, Picasso Moon, Dont Ease Me In","Foolish Heart, I Want To Tell You, Man Smart (Woman Smarter), Man Smart (Woman Smarter), Ship Of Fools, Samba In The Rain, Playing In The Band, Drums, Space, The Last Time, Attics Of My Life, Sugar Magnolia",No Set 3,No Encore,1
1731,7/2/94,Shoreline Amphitheatre,Mountain View,CA,US,"The Music Never Stopped, Sugaree, The Music Never Stopped, Friend Of The Devil, Desolation Row, Tennessee Jed, Eternity","Help On The Way, Slipknot!, Franklins Tower, If The Shoe Fits, Truckin, Smokestack Lightnin, Hes Gone, Drums, Space, Stella Blue, Throwing Stones, One More Saturday Night",No Set 3,No Encore,1
1732,7/3/94,Shoreline Amphitheatre,Mountain View,CA,US,"Here Comes Sunshine, Its All Over Now, Althea, When I Paint My Masterpiece, Bird Song, The Promised Land","Samson And Delilah, Eyes Of The World, Fire On The Mountain, Box Of Rain, Terrapin Station, Drums, Space, Corrina, Days Between, Good Lovin",No Set 3,Liberty,1
1733,7/13/94,Franklin County Field,Highgate,VT,US,"Let The Good Times Roll, Jack Straw, Althea, Queen Jane Approximately, Loser, Its All Over Now, Tennessee Jed, Let It Grow","Truckin, New Speedway Boogie, Way To Go Home, Corrina, Uncle Johns Band, Drums, Space, I Want To Tell You, I Need A Miracle, Standing On The Moon, Sugar Magnolia",No Set 3,U.S. Blues,1
1734,7/16/94,Robert F. Kennedy Stadium,"Washington, D.C.",DC,US,"Cold Rain And Snow, Picasso Moon, Lazy River Road, El Paso, If The Shoe Fits, Ramble On Rose, When I Paint My Masterpiece, Loose Lucy, The Promised Land","China Cat Sunflower, I Know You Rider, Samba In The Rain, Estimated Prophet, Crazy Fingers, Drums, Space, The Last Time, Stella Blue, One More Saturday Night",No Set 3,Liberty,1
1735,7/17/94,Robert F. Kennedy Stadium,"Washington, D.C.",DC,US,"Hell In A Bucket, Bertha, Wang Dang Doodle, So Many Roads, Just Like Tom Thumbs Blues, Black Throated Wind, Dont Ease Me In, Victim Or The Crime, Eyes Of The World, Samson And Delilah, Hes Gone, Drums, Space, Way To Go Home, Standing On The Moon, Turn On Your Lovelight, Brokedown Palace",No Set 2,No Set 3,No Encore,1
1736,7/19/94,Deer Creek Music Center,Noblesville,IN,US,"Shakedown Street, Walkin Blues, Jack A Roe, Big River, Maggies Farm, Broken Arrow, Tennessee Jed, Easy Answers, Foolish Heart, Saint Of Circumstance, I Want To Tell You, Playing In The Band, Drums, Space, Wharf Rat, Throwing Stones, Not Fade Away",Rain,No Set 3,No Encore,1
1737,7/20/94,Deer Creek Music Center,Noblesville,IN,US,"Feel Like A Stranger, Peggy O, Beat It On Down The Line, High Time, Stuck Inside A Mobile With The Memphis Blues Again, Childhoods End, Dont Ease Me In, Box Of Rain, Samba In The Rain, Looks Like Rain, Here Comes Sunshine, Corrina, Matilda, Matilda, Drums, Space, Uncle Johns Band> , I Need A Miracle, Morning Dew, Johnny B. Goode",No Set 2,No Set 3,No Encore,1
1738,7/21/94,Deer Creek Music Center,Noblesville,IN,US,"Touch Of Grey, Greatest Story Ever Told, Jack A Roe, The Same Thing, Stagger Lee, Me And My Uncle, Mexicali Blues, Ramble On Rose, The Music Never Stopped","Man Smart (Woman Smarter), Man Smart (Woman Smarter), If The Shoe Fits, Way To Go Home, Help On The Way, Slipknot!, Franklins Tower, Drums, Space, All Along The Watchtower, Days Between, Good Lovin",No Set 3,Liberty,1
1739,7/23/94,Soldier Field,Chicago,IL,US,"Picasso Moon, Sugaree, New Minglewood Blues, Lazy River Road, When I Paint My Masterpiece, Brown Eyed Women, Cassidy, Lucy In The Sky With Diamonds, Samba In The Rain, Playing In The Band, Terrapin Station, Drums, Jam, The Other One, Wharf Rat, One More Saturday Night, Knockin On Heavens Door",No Set 2,No Set 3,No Encore,1
1740,7/26/94,Riverport Amphitheatre,Maryland Heights,MO,US,"Jack Straw, Friend Of The Devil, Little Red Rooster, Lazy River Road, Queen Jane Approximately, Tennessee Jed, Childhoods End, Easy Answers, Deal","China Cat Sunflower, I Know You Rider, Victim Or The Crime, Samba In The Rain, Ship Of Fools, Estimated Prophet, Drums, Space, The Wheel, Attics Of My Life, Sugar Magnolia, Sunshine Daydream",No Set 3,I Fought The Law,1
