SN,Date,Venue,City,State,Country,Set 1,Set 2,Set 3,Encore,Show Number
1,1/5/66,The Matrix,San Francisco,CA,US,"Its A Sin, Sick And Tired, Mindbender, On The Road Again, She Belongs To Me, Ill Go Crazy, Cant Come Down, Death Dont Have No Mercy, Parchman Farm, In The Midnight Hour, The Only Time Is Now, Early Morning Rain, Its All Over Now, Baby Blue",No Set 2,No Set 3,No Encore,1
2,1/7/66,Fillmore Auditorium,San Francisco,CA,US,"Im A King Bee, Im A Hog For You Baby, Caution (Do Not Stop On Tracks)> , Death Dont Have No Mercy",No Set 2,No Set 3,No Encore,1
3,3/18/66,Carthay Studios,Los Angeles,CA,US,"Viola Lee Blues, One Kind Favor, I Know You Rider, You See A Broken Heart, Its A Sin, Beat It On Down The Line, Heads Up, Next Time You See Me, Slow R and B Instrumental, Space, Death Dont Have No Mercy, In The Midnight Hour",No Set 2,No Set 3,No Encore,1
4,1/14/67,Fillmore Auditorium,San Francisco,CA,US,"Morning Dew, Viola Lee Blues, Good Morning Little Schoolgirl",No Set 2,No Set 3,No Encore,1
5,6/5/67,Caf' au Go,New York,NY,US,"Im A King Bee, It Hurts Me Too, The Same Thing, Big Boss Man, Alligator, In The Midnight Hour, Beat It On Down The Line, Me And My Uncle, New Minglewood Blues, Dont Ease Me In, Cold Rain And Snow, Viola Lee Blues, Its All Over Now, Baby Blue",No Set 2,No Set 3,No Encore,1
6,8/5/67,O'Keefe Centre,Toronto,N/A,CA,"Turn On Your Lovelight, Alligator",No Set 2,No Set 3,No Encore,1
7,12/27/67,Village Theater,New York,NY,US,Good Morning Little Schoolgirl,No Set 2,No Set 3,No Encore,1
8,1/16/68,Carousel Ballroom,San Francisco,CA,US,"Turn On Your Lovelight, Dark Star, China Cat Sunflower, The Eleven, Feedback, New Potato Caboose, Born Cross Eyed, Feedback","Beat It On Down The Line, Morning Dew, Cryptical Envelopment, The Other One, Cryptical Envelopment, Good Morning Little Schoolgirl",No Set 3,No Encore,1
9,2/14/68,Carousel Ballroom,San Francisco,CA,US,"Good Morning Little Schoolgirl, Dark Star, China Cat Sunflower, The Eleven, Turn On Your Lovelight","Cryptical Envelopment, The Other One, Cryptical Envelopment, New Potato Caboose, Born Cross Eyed, Spanish Jam, Alligator, Caution (Do Not Stop On Tracks), Feedback",No Set 3,In The Midnight Hour,1
10,2/23/68,King's Beach Bowl,Lake Tahoe,CA,US,"Viola Lee Blues> , Drums> , Viola Lee Blues, It Hurts Me Too, Dark Star> , China Cat Sunflower> , The Eleven> , Turn On Your Lovelight, Born Cross Eyed> , Spanish Jam",No Set 2,No Set 3,No Encore,1
11,2/24/68,King's Beach Bowl,Lake Tahoe,CA,US,"Morning Dew, Good Morning Little Schoolgirl, Cryptical Envelopment, The Other One, Cryptical Envelopment, New Potato Caboose, Alligator, Drums, China Cat Sunflower, The Eleven, Alligator, Drums, Alligator, Caution (Do Not Stop On Tracks), Feedback",No Set 2,No Set 3,No Encore,1
12,3/15/68,Carousel Ballroom,San Francisco,CA,US,"Dark Star, China Cat Sunflower, The Eleven, Good Morning Little Schoolgirl","Morning Dew, It Hurts Me Too, Cryptical Envelopment, The Other One, Cryptical Envelopment, Alligator, Caution (Do Not Stop On Tracks), Feedback, And We Bid You Good Night",No Set 3,No Encore,1
13,3/26/68,Carousel Ballroom,San Francisco,CA,US,"Morning Dew, Turn On Your Lovelight, Cryptical Envelopment, The Other One, Cryptical Envelopment, New Potato Caboose, Born Cross Eyed",No Set 2,No Set 3,No Encore,1
14,5/4/68,Central Park,New York,NY,US,Morning Dew,No Set 2,No Set 3,No Encore,1
15,5/23/68,National Guard Armory,St. Louis,MO,US,"Turn On Your Lovelight, Cryptical Envelopment, The Other One, Cryptical Envelopment, Dark Star, Saint Stephen, The Eleven, Caution (Do Not Stop On Tracks), Feedback, And We Bid You Good Night",No Set 2,No Set 3,No Encore,1
16,6/14/68,Fillmore East,New York,NY,US,"Morning Dew, Cryptical Envelopment> , The Other One> , Cryptical Envelopment> , New Potato Caboose> ",No Set 2,No Set 3,No Encore,1
17,6/14/68,Fillmore East,New York,NY,US,"Space> , Jam> , The Eleven> , Saint Stephen, Alligator> , Drums> , Turn On Your Lovelight> , Caution (Do Not Stop On Tracks)> , Drums> , Caution (Do Not Stop On Tracks)> , Feedback",No Set 2,No Set 3,No Encore,2
18,8/19/68,Fillmore West,San Francisco,CA,US,"Dark Star, Saint Stephen, The Eleven, Death Dont Have No Mercy",No Set 2,No Set 3,No Encore,1
19,8/20/68,Fillmore West,San Francisco,CA,US,"Cryptical Envelopment, The Other One, Cryptical Envelopment, Good Morning Little Schoolgirl, Alligator, Feedback","Dark Star, Saint Stephen, The Eleven, Death Dont Have No Mercy, Turn On Your Lovelight",No Set 3,In The Midnight Hour,1
20,8/21/68,Fillmore West,San Francisco,CA,US,"Saint Stephen, The Eleven, Death Dont Have No Mercy, Turn On Your Lovelight","Dark Star, Cryptical Envelopment, The Other One, Cryptical Envelopment, New Potato Caboose, Alligator, Caution (Do Not Stop On Tracks), Feedback, And We Bid You Good Night",No Set 3,No Encore,1
21,10/29/68,The Matrix,San Francisco,CA,US,"Dark Star Jam, Death Letter Blues, The Other One, Turn On Your Lovelight, Jam, The Eleven, Death Dont Have No Mercy, Jam, Jam, Prisoner Blues, Jam, Dark Star Jam",No Set 2,No Set 3,No Encore,1
22,1/17/69,Robertson Gym,Santa Barbara,CA,US,"Turn On Your Lovelight, Dark Star> , Saint Stephen> , The Eleven> , Death Dont Have No Mercy, Cryptical Envelopment> , The Other One> , Cryptical Envelopment> , Cosmic Charlie",No Set 2,No Set 3,No Encore,1
23,1/25/69,Avalon Ballroom,San Francisco,CA,US,"Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight","Duprees Diamond Blues> , Doin That Rag> , Cosmic Charlie, Alligator> , Drums> , Alligator> , Caution (Do Not Stop On Tracks)> , Feedback> , And We Bid You Good Night",No Set 3,No Encore,1
24,1/26/69,Avalon Ballroom,San Francisco,CA,US,"Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Clementine> , Death Dont Have No Mercy","Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 3,No Encore,1
25,2/2/69,Labor Temple,Minneapolis,MN,US,"Good Morning Little Schoolgirl, Dark Star> , Saint Stephen> , The Eleven> , Death Dont Have No Mercy, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
26,2/5/69,The Music Box,Omaha,NE,US,"Turn On Your Lovelight, Cryptical Envelopment> , The Other One> , Cryptical Envelopment> , Dark Star> , Saint Stephen> , The Eleven> , Caution (Do Not Stop On Tracks)> , Feedback> , And We Bid You Good Night",No Set 2,No Set 3,No Encore,1
27,2/6/69,Kiel Auditorium,St. Louis,MO,US,"Morning Dew, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight> , Drums> , Turn On Your Lovelight, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Feedback> , And We Bid You Good Night",No Set 2,No Set 3,No Encore,1
28,2/7/69,Stanley Theatre,Pittsburgh,PA,US,"Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
29,2/7/69,Stanley Theatre,Pittsburgh,PA,US,"Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Death Dont Have No Mercy, Alligator> , Drums> , Jam> , China Cat Sunflower Jam> , Jam> , Caution (Do Not Stop On Tracks)> , Feedback> , And We Bid You Good Night",No Set 2,No Set 3,No Encore,2
30,2/11/69,Fillmore East,New York,NY,US,"Good Morning Little Schoolgirl, Cryptical Envelopment> , The Other One> , Cryptical Envelopment> , Doin That Rag, Im A King Bee, Turn On Your Lovelight, Hey Jude",No Set 2,No Set 3,No Encore,2
31,2/12/69,Fillmore East,New York,NY,US,"Dark Star> , Saint Stephen> , The Eleven> , Death Dont Have No Mercy, Alligator> , Drums> , Drummers Chant> , Alligator> , Caution (Do Not Stop On Tracks)> , Feedback> , And We Bid You Good Night",No Set 2,No Set 3,No Encore,1
32,2/14/69,Electric Factory,Philadelphia,PA,US,"Good Morning Little Schoolgirl, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight","Morning Dew, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Death Dont Have No Mercy",No Set 3,No Encore,1
33,2/19/69,Fillmore West,San Francisco,CA,US,"Turn On Your Lovelight> , Drums> , Not Fade Away> , Turn On Your Lovelight, Jam","Playing In The Band> , Jam> , Dark Star Jam> , The Other One Jam",No Set 3,No Encore,1
34,2/21/69,Dream Bowl,Napa,CA,US,"Good Morning Little Schoolgirl, Doin That Rag, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",Morning Dew,No Set 3,No Encore,1
35,2/22/69,Dream Bowl,Napa,CA,US,"Duprees Diamond Blues> , Mountains Of The Moon> , Jam> , Dark Star> , Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Death Dont Have No Mercy","Doin That Rag> , Saint Stephen> , The Eleven> , Turn On Your Lovelight> , Drums> , Turn On Your Lovelight",No Set 3,No Encore,1
36,2/27/69,Fillmore West,San Francisco,CA,US,"Good Morning Little Schoolgirl, Doin That Rag, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment","Duprees Diamond Blues> , Mountains Of The Moon> , Jam> , Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight> , Drums> , Turn On Your Lovelight",No Set 3,Cosmic Charlie,1
37,2/28/69,Fillmore West,San Francisco,CA,US,"Morning Dew, Good Morning Little Schoolgirl, Doin That Rag, Im A King Bee, Turn On Your Lovelight","Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Dark Star> , Saint Stephen> , The Eleven> , Death Dont Have No Mercy, Alligator> , Drums> , Caution (Do Not Stop On Tracks)> , Feedback> , And We Bid You Good Night",No Set 3,No Encore,1
38,3/1/69,Fillmore West,San Francisco,CA,US,"Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , New Potato Caboose> , Doin That Rag> , Cosmic Charlie","Duprees Diamond Blues, Mountains Of The Moon> , Jam, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 3,Hey Jude,1
39,3/2/69,Fillmore West,San Francisco,CA,US,"Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight","Doin That Rag> , Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Space> , Death Dont Have No Mercy, Morning Dew, Alligator> , Drums> , Jam> , And We Bid You Good Night Jam> , Jam> , Caution (Do Not Stop On Tracks) Jam> , Caution (Do Not Stop On Tracks)> , Feedback> , And We Bid You Good Night",No Set 3,No Encore,1
40,3/15/69,Hilton Hotel,San Francisco,CA,US,"Hard To Handle, Good Morning Little Schoolgirl, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
41,3/22/69,Rose Palace,Pasadena,CA,US,"Good Morning Little Schoolgirl, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
42,3/28/69,Student Center,Modesto,CA,US,"Good Morning Little Schoolgirl, Dark Star> , Saint Stephen> , The Eleven> , Death Dont Have No Mercy> , Turn On Your Lovelight, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment",No Set 2,No Set 3,No Encore,1
43,3/29/69,Ice Palace,Las Vegas,NV,US,"Morning Dew, Good Morning Little Schoolgirl, Doin That Rag, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
44,4/4/69,Avalon Ballroom,San Francisco,CA,US,"Good Morning Little Schoolgirl, Doin That Rag, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Death Dont Have No Mercy","Turn On Your Lovelight, Dark Star> , Saint Stephen> , The Eleven> , Feedback",No Set 3,No Encore,1
45,4/6/69,Avalon Ballroom,San Francisco,CA,US,"Good Morning Little Schoolgirl, Beat It On Down The Line, Its All Over Now, Baby Blue, Im A King Bee","Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Death Dont Have No Mercy, Turn On Your Lovelight, Viola Lee Blues",No Set 3,No Encore,1
46,4/11/69,University Auditorium,Tucson,AZ,US,"Morning Dew> , Sittin On Top Of The World> , The Other One> , Cryptical Envelopment> , Its A Sin, Hard To Handle","Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 3,No Encore,1
47,4/12/69,Student Union Ballroom,Salt Lake City,UT,US,"Morning Dew, Good Morning Little Schoolgirl, Doin That Rag, He Was A Friend Of Mine, Cryptical Envelopment> , The Other One","Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight> , Feedback",No Set 3,No Encore,1
48,4/13/69,Glenn Miller Ballroom,Boulder,CO,US,"Turn On Your Lovelight, Doin That Rag, Good Morning Little Schoolgirl, Morning Dew> , Dark Star> , Saint Stephen> , The Eleven> , Death Dont Have No Mercy","Alligator> , Drums> , Caution (Do Not Stop On Tracks) Jam> , And We Bid You Good Night Jam",No Set 3,No Encore,1
49,4/15/69,The Music Box,Omaha,NE,US,"Hard To Handle, Morning Dew, It Hurts Me Too, China Cat Sunflower> , Jam> , Doin That Rag> , Its A Sin, Turn On Your Lovelight","Sittin On Top Of The World> , The Other One> , Dark Star> , Saint Stephen> , The Eleven",No Set 3,No Encore,1
50,4/17/69,Washington University,St. Louis,MO,US,"Hard To Handle> , Morning Dew> , Good Morning Little Schoolgirl> , Dark Star> , Saint Stephen> , Its A Sin> , Saint Stephen> , The Eleven> , Turn On Your Lovelight> , Cryptical Envelopment> , The Other One> , Cryptical Envelopment> , Caution (Do Not Stop On Tracks)",No Set 2,No Set 3,No Encore,1
51,4/18/69,Memorial Union Ballroom,West Lafayette,IN,US,"Hard To Handle, Morning Dew, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Sittin On Top Of The World> , Im A King Bee, Doin That Rag, Turn On Your Lovelight, Cosmic Charlie, Beat It On Down The Line",No Set 2,No Set 3,No Encore,1
52,4/20/69,Atwood Hall,Worcester,MA,US,"Morning Dew> , Good Morning Little Schoolgirl> , Doin That Rag> , Dark Star> , Saint Stephen> , The Eleven> , Death Dont Have No Mercy, Turn On Your Lovelight","Duprees Diamond Blues> , Mountains Of The Moon",No Set 3,No Encore,1
53,4/21/69,The Ark,Boston,MA,US,"Hard To Handle, Morning Dew, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Sittin On Top Of The World, Alligator> , Drums> , Jam> , Doin That Rag","Foxy Lady Jam, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight> , Drums> , Turn On Your Lovelight> , Drums> , Turn On Your Lovelight",No Set 3,"Viola Lee Blues> , Feedback",1
54,4/22/69,The Ark,Boston,MA,US,"Sittin On Top Of The World, Morning Dew, Beat It On Down The Line> , Good Morning Little Schoolgirl, Doin That Rag, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Death Dont Have No Mercy","Duprees Diamond Blues> , Mountains Of The Moon> , Jam> , Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight> , Drums> , Turn On Your Lovelight",No Set 3,No Encore,1
55,4/23/69,The Ark,Boston,MA,US,"He Was A Friend Of Mine, Dark Star> , Saint Stephen> , Its A Sin> , Saint Stephen> , Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Sittin On Top Of The World> , Turn On Your Lovelight","Morning Dew, Hard To Handle, Doin That Rag, Alligator> , Drums> , Jam> , The Eleven> , Jam> , Caution (Do Not Stop On Tracks)> , Feedback> , And We Bid You Good Night",No Set 3,"Its All Over Now, Baby Blue",1
56,4/25/69,Electric Theater,Chicago,IL,US,"Hard To Handle, Doin That Rag, Good Morning Little Schoolgirl, Morning Dew, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
57,4/26/69,Electric Theater,Chicago,IL,US,"Duprees Diamond Blues, Mountains Of The Moon> , Dark Star Jam> , China Cat Sunflower> , Doin That Rag, It Hurts Me Too> , Hard To Handle, Cryptical Envelopment> , Drums> , The Other One> , The Eleven Jam> , The Other One> , Its A Sin, Morning Dew, Sittin On Top Of The World, New Minglewood Blues, Silver Threads And Golden Needle, Its All Over Now, Baby Blue, Saint Stephen> , Turn On Your Lovelight","Drums> , Viola Lee Blues> , Caution (Do Not Stop On Tracks) Jam> , Viola Lee Blues> , Feedback> , Whats Become Of The Baby> , Feedback> , And We Bid You Good Night",No Set 3,No Encore,1
58,4/27/69,Labor Temple,Minneapolis,MN,US,"Turn On Your Lovelight> , Me And My Uncle> , Jam> , Sittin On Top Of The World, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",Morning Dew,No Set 3,No Encore,1
59,5/3/69,Winterland Arena,San Francisco,CA,US,"He Was A Friend Of Mine, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Doin That Rag, Me And My Uncle",No Set 2,No Set 3,No Encore,1
60,5/7/69,Polo Field,San Francisco,CA,US,"He Was A Friend Of Mine, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Doin That Rag, Me And My Uncle",No Set 2,No Set 3,No Encore,1
61,5/10/69,Rose Palace,Pasadena,CA,US,"Hard To Handle, Me And My Uncle, Morning Dew, Doin That Rag, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
62,5/16/69,Campolindo High School,Moraga,CA,US,"Good Morning Little Schoolgirl, Doin That Rag, Me And My Uncle, Hard To Handle, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
63,5/23/69,Seminole Indian Village,West Hollywood,FL,US,"Hard To Handle, Morning Dew, Me And My Uncle, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
64,5/24/69,Seminole Indian Village,West Hollywood,FL,US,"Turn On Your Lovelight, Doin That Rag> , He Was A Friend Of Mine> , China Cat Sunflower> , Jam> , The Eleven> , Death Dont Have No Mercy, Alligator> , Drums> , Saint Stephen> , Feedback> , And We Bid You Good Night",No Set 2,No Set 3,No Encore,1
65,5/28/69,Winterland Arena,San Francisco,CA,US,"Smokestack Lightnin, The Other One> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
66,5/29/69,Robertson Gym,Santa Barbara,CA,US,"Morning Dew, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Good Morning Little Schoolgirl> , Me And My Uncle> , Alligator> , Drums> , Jam> , Drums> , Jam> , Drums> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
67,5/30/69,Springer's Inn,Portland,OR,US,"Morning Dew, Me And My Uncle, Doin That Rag, Im A King Bee, Dark Star> , Cosmic Charlie, Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
68,5/31/69,McArthur Court,Eugene,OR,US,"Hard To Handle, Cold Rain And Snow, Green Green Grass Of Home, Me And My Uncle, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Sittin On Top Of The World, It Hurts Me Too, Turn On Your Lovelight","He Was A Friend Of Mine, Dark Star> , Doin That Rag> , Cosmic Charlie",No Set 3,"Its All Over Now, Baby Blue, And We Bid You Good Night",1
69,6/5/69,Fillmore West,San Francisco,CA,US,"Morning Dew, Me And My Uncle, Doin That Rag> , He Was A Friend Of Mine, Hard To Handle, Cosmic Charlie, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment","China Cat Sunflower> , Jam> , Sittin On Top Of The World> , Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 3,No Encore,1
70,6/6/69,Fillmore West,San Francisco,CA,US,"Smokestack Lightnin, Green Green Grass Of Home, Me And My Uncle, Checkin Up, Beat It On Down The Line, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
71,6/7/69,Fillmore West,San Francisco,CA,US,"Dire Wolf, Duprees Diamond Blues, Mountains Of The Moon> , Dark Star> , Saint Stephen> , The Eleven> , Sittin On Top Of The World> , Cold Rain And Snow> , Doin That Rag, Me And My Uncle, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
72,6/8/69,Fillmore West,San Francisco,CA,US,"Dancing In The Street> , He Was A Friend Of Mine> , China Cat Sunflower> , Jam> , New Potato Caboose, Me And My Uncle","Turn On Your Lovelight, The Things I Used To Do, Whos Lovin You Tonight, Cryptical Envelopment> , Drums> , The Other One> , Cosmic Charlie",No Set 3,No Encore,1
73,6/11/69,California Hall,San Francisco,CA,US,"Let It Be Me, Silver Threads And Golden Needle, Mama Tried, Cathys Clown, Me And My Uncle, Ol Slewfoot, Dire Wolf, Games People Play, The Race Is On, Green Green Grass Of Home","Tiger By The Tail, Ive Just Seen A Face, All I Have To Do Is Dream, Wabash Cannonball, Railroading The Great Divide",No Set 3,No Encore,1
74,6/13/69,Fresno Convention Center,Fresno,CA,US,"Hard To Handle, Me And My Uncle, Sittin On Top Of The World, Beat It On Down The Line, Good Morning Little Schoolgirl, China Cat Sunflower> , Jam> , Morning Dew, Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
75,6/14/69,Monterey Peninsula College,Monterey,CA,US,"Turn On Your Lovelight> , Me And My Uncle> , Doin That Rag> , He Was A Friend Of Mine> , Dire Wolf, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight> , Drums> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
76,6/21/69,Fillmore East,New York,NY,US,"Green Green Grass Of Home, Me And My Uncle, High Time, China Cat Sunflower> , Jam> , Morning Dew> , Alligator> , Drums> , Jam> , The Other One> , Cryptical Envelopment> , Ol Slewfoot",Cosmic Charlie,No Set 3,No Encore,1
77,6/21/69,Fillmore East,New York,NY,US,"Old, Old House, Sittin On Top Of The World, Im A King Bee, Dire Wolf, Mama Tried, High Time, Duprees Diamond Blues, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,2
78,6/22/69,Central Park,New York,NY,US,"Dancing In The Street, Jam> , Casey Jones, Hard To Handle, Me And My Uncle, Sittin On Top Of The World, Silver Threads And Golden Needle, Dark Star> , The Other One> , Saint Stephen> , Its A Sin, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
79,6/27/69,Veterans Auditorium,Santa Rosa,CA,US,"Ol Slewfoot, Mama Tried> , High Time, Duprees Diamond Blues, Me And My Uncle, Jam> , Casey Jones, Dire Wolf, Sittin On Top Of The World> , Big Boss Man, Dark Star> , Saint Stephen> , The Eleven> , Green Green Grass Of Home","Its All Over Now, Baby Blue",No Set 3,No Encore,1
80,6/28/69,Veterans Auditorium,Santa Rosa,CA,US,"Ol Slewfoot, Silver Threads And Golden Needle, Mama Tried, Me And My Uncle, Doin That Rag> , High Time, Im A King Bee, Sittin On Top Of The World, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
81,7/3/69,Reed's Ranch,Colorado Springs,CO,US,"Green Green Grass Of Home> , Ol Slewfoot, Sittin On Top Of The World, Morning Dew, High Time, Me And My Uncle, Casey Jones, Mama Tried, Hard To Handle, He Was A Friend Of Mine, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
82,7/4/69,Electric Theater,Chicago,IL,US,"Hard To Handle, Mama Tried, Ol Slewfoot, Silver Threads And Golden Needle, Cryptical Envelopment> , Drums> , The Other One> , High Time> , Casey Jones, Im A King Bee, Sittin On Top Of The World> , Me And My Uncle, Doin That Rag, Let Me In, Dire Wolf, Saint Stephen> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
83,7/5/69,Electric Theater,Chicago,IL,US,"Morning Dew, Dark Star> , Saint Stephen> , The Eleven> , Its All Over Now, Baby Blue","China Cat Sunflower> , Jam> , High Time> , Mama Tried, Hard To Handle, Casey Jones, Turn On Your Lovelight",No Set 3,No Encore,1
84,7/7/69,Piedmont Park,Atlanta,GA,US,"Morning Dew, Mama Tried> , High Time> , Casey Jones, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
85,7/8/69,Rock Pile,Toronto,N/A,CA,"Green Green Grass Of Home> , El Paso> , Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment, Casey Jones, Morning Dew",No Set 2,No Set 3,No Encore,1
86,7/11/69,NY State Pavilion,Queens,NY,US,"The Story Of A Brick, Duprees Diamond Blues, Dire Wolf, Hard To Handle, Silver Threads And Golden Needle, Casey Jones, Sittin On Top Of The World, Big Boss Man, Mama Tried, High Time, Drums, Alligator, Drums> , Jam, And We Bid You Good Night Jam, Jam, The Other One, Death Dont Have No Mercy, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
87,7/12/69,NY State Pavilion,Queens,NY,US,"Green Green Grass Of Home, Ol Slewfoot, Mountains Of The Moon, Doin That Rag, China Cat Sunflower, Jam, Mama Tried, High Time, Dark Star, The Other One, Saint Stephen, The Eleven, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
88,8/2/69,Family Dog at the Great Highway,San Francisco,CA,US,"Casey Jones, Hard To Handle, Mama Tried, High Time, Seasons Of My Heart, Ol Slewfoot, Big Boss Man, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
89,8/3/69,Family Dog at the Great Highway,San Francisco,CA,US,"Hard To Handle, Beat It On Down The Line, Hi-Heeled Sneakers, High Time, Mama Tried, Dark Star, Alligator> , Drums> , The Other One> , Caution (Do Not Stop On Tracks)> , And We Bid You Good Night",No Set 2,No Set 3,No Encore,1
90,8/16/69,Max Yasgur's Farm,Bethel,NY,US,"Saint Stephen> , Mama Tried> , Dark Star> , High Time, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
91,8/23/69,Pelletier Farm,St. Helens,OR,US,"Hard To Handle, Mama Tried, High Time, Casey Jones, Easy Wind, Sittin On Top Of The World, Dark Star, Saint Stephen, The Eleven, Turn On Your Lovelight",And We Bid You Good Night,No Set 3,No Encore,1
92,8/28/69,Family Dog at the Great Highway,San Francisco,CA,US,"Its A Sin, Hi-Heeled Sneakers, Dark Star> , The Eleven Jam> , Dark Star",No Set 2,No Set 3,No Encore,1
93,8/29/69,Family Dog at the Great Highway,San Francisco,CA,US,"Casey Jones, Easy Wind, Me And My Uncle> , High Time, New Orleans> , Searchin> , Good Lovin Jam> , Good Lovin, Dire Wolf> , Im A King Bee, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
94,8/30/69,Family Dog at the Great Highway,San Francisco,CA,US,"China Cat Sunflower> , Jam> , Doin That Rag, Morning Dew, Easy Wind, Dark Star> , Saint Stephen> , The Eleven> , Drums> , High Time",No Set 2,No Set 3,No Encore,1
95,9/1/69,Baton Rouge Int. Speedway,Prairieville,LA,US,"Casey Jones, Morning Dew> , Mama Tried> , High Time, Easy Wind, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
96,9/6/69,Family Dog at the Great Highway,San Francisco,CA,US,"Good Morning Little Schoolgirl, Doin That Rag, He Was A Friend Of Mine, Big Boy Pete> , Good Lovin, Its All Over Now",No Set 2,No Set 3,No Encore,1
97,9/7/69,Family Dog at the Great Highway,San Francisco,CA,US,"Peggy Sue, Thatll Be The Day, Johnny B. Goode, Baby What You Want Me To Do, Wipe Out> , Big Railroad Blues> , Louie Louie> , Twist And Shout> , Blue Moon",No Set 2,No Set 3,No Encore,1
